Collection ID,Sample ID,Filename,Note root,Note max,Note min,Loop start,Loop stop
0,0,sound/volca_c0.wav,24,24,0,27195,71691
0,1,sound/volca_c1.wav,36,36,25,26606,71110
0,2,sound/volca_c2.wav,48,48,37,26713,70868
0,3,sound/volca_c3.wav,60,60,49,26592,70614
0,4,sound/volca_c4.wav,72,72,61,26538,70618
0,5,sound/volca_c5.wav,84,84,73,26481,70590
0,6,sound/volca_c6.wav,96,96,85,26477,70574
1,0,sound/nord_grand_c0.wav,24,24,0,0,0
1,1,sound/nord_grand_c1.wav,36,36,25,0,0
1,2,sound/nord_grand_c2.wav,48,48,37,0,0
1,3,sound/nord_grand_c3.wav,60,60,49,0,0
1,4,sound/nord_grand_c4.wav,72,72,61,0,0
1,5,sound/nord_grand_c5.wav,84,84,73,0,0
1,6,sound/nord_grand_c6.wav,96,96,85,0,0
1,7,sound/nord_grand_c7.wav,108,108,97,0,0
2,0,sound/fp90_grand_c0.wav,24,24,0,0,0
2,1,sound/fp90_grand_c1.wav,36,36,25,0,0
2,2,sound/fp90_grand_c2.wav,48,48,37,0,0
2,3,sound/fp90_grand_c3.wav,60,60,49,0,0
2,4,sound/fp90_grand_c4.wav,72,72,61,0,0
2,5,sound/fp90_grand_c5.wav,84,84,73,0,0
2,6,sound/fp90_grand_c6.wav,96,96,85,0,0
2,7,sound/fp90_grand_c7.wav,108,108,97,0,0
3,0,sound/fp90_upright_c0.wav,24,24,0,0,0
3,1,sound/fp90_upright_c1.wav,36,36,25,0,0
3,2,sound/fp90_upright_c2.wav,48,48,37,0,0
3,3,sound/fp90_upright_c3.wav,60,60,49,0,0
3,4,sound/fp90_upright_c4.wav,72,72,61,0,0
3,5,sound/fp90_upright_c5.wav,84,84,73,0,0
3,6,sound/fp90_upright_c6.wav,96,96,85,0,0
3,7,sound/fp90_upright_c7.wav,108,108,97,0,0
4,0,sound/pbass_e1.wav,28,28,0,0,0
4,1,sound/pbass_a1.wav,33,33,29,0,0
4,2,sound/pbass_d2.wav,38,38,34,0,0
4,3,sound/pbass_g2.wav,43,43,39,0,0
4,4,sound/pbass_c3.wav,48,48,44,0,0
4,5,sound/pbass_f3.wav,53,53,49,0,0
4,6,sound/pbass_bb3.wav,58,58,54,0,0
4,7,sound/pbass_eb4.wav,63,63,59,0,0
5,0,sound/vss_jupiter8_10.wav,60,127,0,75863,213432
6,0,sound/zebra_cello1_c4.wav,60,127,0,60070,106596
